solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,99,61,31,4,0.6666666666666666,0.9611650485436893,0.61875,0.752851711026616
popper_random_filter,87,73,27,8,0.5846153846153846,0.9157894736842105,0.54375,0.6823529411764706
popper_sb_filter,14,146,35,0,0.2512820512820513,1.0,0.0875,0.16091954022988506
popper_sb_filter_dl,134,26,18,17,0.7794871794871795,0.8874172185430463,0.8375,0.8617363344051447
popper_random_filter_dl_bkcons,118,42,30,5,0.7589743589743589,0.959349593495935,0.7375,0.833922261484099
popper_random,21,139,35,0,0.28717948717948716,1.0,0.13125,0.23204419889502761
popper_all_dl,109,51,31,4,0.717948717948718,0.9646017699115044,0.68125,0.7985347985347986
popper_all_filter_dl_bkcons,123,37,29,6,0.7794871794871795,0.9534883720930233,0.76875,0.8512110726643599
popper_all_filter_dl,95,65,33,2,0.6564102564102564,0.979381443298969,0.59375,0.7392996108949417
popper_sb_dl_bkcons,128,32,21,14,0.764102564102564,0.9014084507042254,0.8,0.847682119205298
popper_random_dl_bkcons,40,120,34,1,0.37948717948717947,0.975609756097561,0.25,0.39800995024875624
popper_sb_filter_dl_bkcons,133,27,16,19,0.764102564102564,0.875,0.83125,0.8525641025641025
era_paper,66,94,33,2,0.5076923076923077,0.9705882352941176,0.4125,0.5789473684210527
popper_sb_dl,136,24,26,9,0.8307692307692308,0.9379310344827586,0.85,0.8918032786885246
popper_random_dl,47,113,31,4,0.4,0.9215686274509803,0.29375,0.44549763033175355
aleph_sb,98,62,32,3,0.6666666666666666,0.9702970297029703,0.6125,0.7509578544061303
aleph_random,87,73,24,11,0.5692307692307692,0.8877551020408163,0.54375,0.6744186046511628
popper_all_dl_bkcons,88,72,31,4,0.6102564102564103,0.9565217391304348,0.55,0.6984126984126984
aleph_all,111,49,23,12,0.6871794871794872,0.9024390243902439,0.69375,0.784452296819788
popper_sb,79,81,29,6,0.5538461538461539,0.9294117647058824,0.49375,0.6448979591836734
popper_all_norec,77,83,33,2,0.5641025641025641,0.9746835443037974,0.48125,0.6443514644351465
manual,66,94,33,2,0.5076923076923077,0.9705882352941176,0.4125,0.5789473684210527
popper_random_filter_dl,70,90,32,3,0.5230769230769231,0.958904109589041,0.4375,0.6008583690987125
popper_all_filter,81,79,33,2,0.5846153846153846,0.9759036144578314,0.50625,0.6666666666666666
